event_no,event_name,pre_event,reaction_type,player,date,location,cause,proposal,key_topic,hashtag,tag
1,"Flashmob
skywalk 
Phatumwan",,,3,14-12-2562,"Skywalk Phatumwan
กรุงเทพมหานคร","- การชงเรื่อง ""ยุบพรรคอนาคตใหม่"" ของ กกต. สู่ศาลรัฐธรรมนูญ สะท้อนให้เห็นถึงความพยายามในการใช้กระบวนการกฎหมายและอำนาจอย่างอยุติธรรม อันกระทบต่อประชาชนเจ้าของอำนาจอธิปไตย","1.ไม่ยอมต่อการกดหัวและระบบ
การสืบทอดอำนาจของคณะรักษา
ความสงบแห่งชาติ (คสช.)

2. การแสดงพลังเพื่อ ""ทวงคืนความยุติธรรมสู่ประชาธิปไตย""",1,#ไม่ถอยไม่ทน,"#ฟ้ารักพ่อ
#ไม่ถอยไม่ทน
#ชังชาติ"
2,วิ่งไล่ลุง จ.นครศรีธรรมราช,1,1,2,12-01-2563,"มหาวิทยาลัยวลัยลักษณ์
จ.นครศรีธรรมราช","-ขับไล่รัฐบาล หรือบุคคลในรัฐบาล
1.ลุงอยู่บริหารบ้านเมืองมานาน แต่ไม่แสดงให้เห็นถึง
ความสามารถในการจัดการเท่าที่ควรจะเป็น 
ความฝันและคำสัญญาที่ลุงสร้างว่าจะขอปฏิรูปก่อนเลือกตั้ง 
ก็ไม่เห็นเป็นจริง
2.ลุงไม่ได้แสดงความแตกต่างในทางที่ดีกว่านักการเมืองรุ่นก่อนๆที่ลุงเคยว่าเขา 
แถมการตั้งรัฐบาลของลุง ยังมาจากการรวบรวมสารพันนักการเมืองสายยี้
ที่ประชาชนส่ายหน้า 
3.ลุงสร้างกลไกกติกาต่างๆที่ทำให้บ้านเมืองบิดเบี้ยว บทเฉพาะกาลในรัฐธรรมนูญที่ให้มี ส.ว.
มาจากการแต่งตั้งของลุงเกือบทั้งหมด ไม่ใช่ความปรารถนาดีต่อบ้านเมือง
แต่เพื่อความมั้นคงในตำแหน่งงานของลุงเท่านั้น
4.ลุงยังคงนึกว่าตัวเองมีคะแนนนิยมดี คิดว่าตัวเองทำงานทุ่มเทเหน็ดเหนื่อย 
ไปไหนก็มีแต่คนแวดล้อมยกย่องชมเชย ไม่รู้ถึงความรู้สึกที่แท้จริงของประชาชน
ดังนั้น การแสดงออกด้วยการร่วมวิ่งไล่ลุง จีงเป็นการส่งเสียงของประชนให้รู้ว่า เบื่อแล้ว 
เผื่อให้ลุงปรับปรุงการทำงานตัวเองให้ดีขึ้น",-,"1,2",#วิ่งไล่ลุง,#วิ่งไล่ลุง
3,วิ่งไล่ลุง จ.แพร่,1,1,2,12-01-2563,ตลาดแพร่ปรีดา จ.แพร่ -> สนามหลวง จ.แพร่,"-ขับไล่รัฐบาล หรือบุคคลในรัฐบาล

",-,"1,2",#วิ่งไล่ลุง,#วิ่งไล่ลุง
4,"วิ่งไล่ลุง 
สวนสุขภาพสระพลาสติก 
มหาวิทยาลัยขอนแก่น
จ.ขอนแก่น",1,1,2,12-01-2563,"สวนสุขภาพสระพลาสติก
มหาวิทยาลัยขอนแก่น
จ.ขอนแก่น",-สร้างพื้นที่ความหลากหลายทางความคิดให้นักศึกษาและประชาชนชาวขอนแก่น, -,"1,2",#วิ่งไล่ลุง,#วิ่งไล่ลุง
5," วิ่งไล่ลุง
บึงพลาญชัย จ.ร้อยเอ็ด

",1,1,2,12-01-2563,"บึงพลาญชัย 
จ.ร้อยเอ็ด",-,-,"1,2",#วิ่งไล่ลุง,#วิ่งไล่ลุง
6,"วิ่งไล่ลุง ลานหน้าพระร่วง
โรจนฤทธิ์ 
องค์พระปฐมเจดีย์ จ.นครปฐม",1,1,2,12-01-2563,"ลานหน้าพระร่วงโรจนฤทธิ์ 
องค์พระปฐมเจดีย์ 
จ.นครปฐม",-,-,"1,2",#วิ่งไล่ลุง,#วิ่งไล่ลุง
7,"วิ่งไล่ลุง อำเภอบางปะกง 
จ.ฉะเชิงเทรา",1,1,2,12-01-2563,"อำเภอบางปะกง
จ.ฉะเชิงเทรา",-ขับไล่รัฐบาล หรือบุคคลในรัฐบาล,-,"1,2",#วิ่งไล่ลุง,#วิ่งไล่ลุง
8,"วิ่งไล่ลุง
ฟิวเจอร์ปาร์ค รังสิต จ.ปทุมธานี",1,1,2,12-01-2563,"ฟิวเจอร์ปาร์ค รังสิต 
จ.ปทุมธานี",-,-,"1,2",#วิ่งไล่ลุง,#วิ่งไล่ลุง
9,"วิ่งไล่ลุง เมืองพัทยา
 จ.ชลบุรี",1,1,2,12-01-2563,"เมืองพัทยา
จ.ชลบุรี",-,-,"1,2",#วิ่งไล่ลุง,#วิ่งไล่ลุง
10,"วิ่งไล่ลุง มหาวิทยาลัย
บูรพา จ.ชลบุรี",1,1,2,12-01-2563,"มหาวิทยาลัย
บูรพา 
จ.ชลบุรี",-,-,"1,2",#วิ่งไล่ลุง,#วิ่งไล่ลุง
11,"วิ่งไล่ลุง อุทยาน
มกุฏรมยสราญ 
จ.นนทบุรี",1,1,2,12-01-2563,"อุทยาน
มกุฏรมยสราญ 
จ.นนทบุรี",-,-,"1,2",#วิ่งไล่ลุง,#วิ่งไล่ลุง
12,"วิ่งไล่ลุง เขื่อนขุนด่าน
ปราการชล จ.นครนายก",1,1,2,12-01-2563,"เขื่อนขุนด่านปราการชล
จ.นครนายก",-,-ขับไล่รัฐบาล หรือบุคคลในรัฐบาล,"1,2",#วิ่งไล่ลุง,#วิ่งไล่ลุง
13,วิ่งไล่ลุง สวนชมน่าน จ.พิษณุโลก,1,1,2,12-01-2563,"สวนชมน่าน 
จ.พิษณุโลก",-,-,"1,2",#วิ่งไล่ลุง,#วิ่งไล่ลุง
14,"วิ่งไล่ลุง 
ซอยสะพานหิน
จ.ภูเก็ต ",1,1,2,12-01-2563,"ซอยสะพานหิน 
จ.ภูเก็ต",-,-,"1,2",#วิ่งไล่ลุง,#วิ่งไล่ลุง
15,"วิ่งไล่ลุง,วิ่งยกลุง
สวนสาธารณะสมเด็จ
พระศรีนครินทร์
95 Trang Holiday Park
จ.ตรัง",1,1,2,12-01-2563,"สวนสาธารณะสมเด็จ
พระศรีนครินทร์ 
จ.ตรัง",-,-,"1,2",#วิ่งไล่ลุง,#วิ่งไล่ลุง
16,"เดินเชียร์ลุง 
สวนลุมพินี 
จ.กรุงเทพมหานคร",1,2,2,12-01-2563,"สวนลุมพินี
กรุงเทพมหานคร",-สนับสนุนรัฐบาล พล.อ.ประยุทธ์ จันทร์โอชา,-,"1,2",#เดินเชียร์ลุง,"#เดินเชียร์ลุง
#ชังชาติ"
17,"วิ่งไล่ลุง สวนวชิรเบญจทัศ 
(สวนรถไฟ) 
จ.กรุงเทพมหานคร",1,1,2,12-01-2563," สวนวชิรเบญจทัศ 
(สวนรถไฟ) 
กรุงเทพมหานคร","-ขับไล่รัฐบาล หรือบุคคลในรัฐบาล, ต้องแก้ปัญหาเศรษฐกิจ ต้องแก้รัฐธรรมนูญ
และยุติการใช้อำนาจที่เอื้อพวกพ้อง",-,"1,2",#วิ่งไล่ลุง,"#วิ่งไล่ลุง
"
18,วิ่งไล่ลุง จ.เชียงใหม่,1,1,2,12-01-2563,"ประตูท่าแพ จ.เชียงใหม่ -> อนุสาวรีย์สามกษัตริย์
จ.เชียงใหม่","-ขับไล่รัฐบาล หรือบุคคลในรัฐบาล
","1.เรียกร้องให้รัฐบาลสนใจความเป็นอยู่ของประชาชน
2.สื่อสารให้รัฐบาลทราบว่าประชาชนไม่พอใจรัฐบาล","1,2",#วิ่งไล่ลุง,#วิ่งไล่ลุง
19,"วิ่งไล่ลุง สวนเฉลิมพระเกียรติ 
อำเภอสตึก จ.บุรีรัมย์",1,1,2,12-01-2563,"สวนเฉลิมพระเกียรติ 
อำเภอสตึก 
จ.บุรีรัมย์",-,-,"1,2",#วิ่งไล่ลุง,#วิ่งไล่ลุง
20,วิ่งไล่ลุง จ.นครศรีธรรมราช,1,1,2,12-01-2563,"วัดพระมหาธาตุวรมหาวิหาร
จังหวัดนครศรีธรรมราช -> ศาลหลักเมืองจังหวัดนครศรีธรรมราช ",-,-,"1,2",#วิ่งไล่ลุง,#วิ่งไล่ลุง
21,วิ่งไล่ลุง จ.นครศรีธรรมราช,1,1,2,12-01-2563,"สนามหน้าเมือง 
จ.นครศรีธรรมราช",-,"- ขับไล่รัฐบาลหรือบุคคลในรัฐบาล ขยายพื้นที่สาธารณะและพูดคุยระหว่างผู้เข้าร่วมในกิจกรรม
ที่สร้างสรรค์","1,2",#วิ่งไล่ลุง,#วิ่งไล่ลุง
22,"วิ่งไล่ลุง ทุ่งศรีเมือง 
จ.อุบลราชธานี",1,1,2,12-01-2563,"บริเวณทุ่งศรีเมือง
จ.อุบลราชธานี",-ขับไล่รัฐบาลหรือบุคคลในรัฐบาล,-,"1,2",#วิ่งไล่ลุง,#วิ่งไล่ลุง
23,"วิ่งไล่ลุง จากริมเขื่อนหลังศาลากลาง
 จังหวัดนครสวรรค์ จ.นครสวรรค์ 
ไปยังตลาดศรีนคร จ.นครสวรรค์",1,1,2,12-01-2563,"ริมเขื่อนหลังศาลากลาง
 จังหวัดนครสวรรค์ จ.นครสวรรค์ -> ตลาดศรีนคร จ.นครสวรรค์",-ขับไล่รัฐบาล หรือบุคคลในรัฐบาล,-,"1,2",#วิ่งไล่ลุง,#วิ่งไล่ลุง
24,"วิ่งไล่ลุง จาก หอนาฬิกา 
จังหวัดมหาสารคาม 
(Clock tower Mahasarakham) 
จ.มหาสารคาม 
ไปยัง เสริมไทยคอมเพล็กซ์ 
จ.มหาสารคาม",1,1,2,12-01-2563,"หอนาฬิกา 
จังหวัดมหาสารคาม
 (Clock tower Mahasarakham)
 จ.มหาสารคาม -> เสริมไทยคอมเพล็กซ์ 
จ.มหาสารคาม","ขับไล่รัฐบาล หรือบุคคลในรัฐบาล,ให้ พล.อ.ประยุทธ์ลาออกจากตำแหน่ง, 
ยุบสภาแล้วเลือกตั้งใหม่, สว. มาจากการเลือกตั้งและยุติบทบาท, 
รัฐธรรมนูญมาจากประชาชน, ประชาชนมีสิทธิในการแสดงออกทางการเมือง",-,"1,2",#วิ่งไล่ลุง,#วิ่งไล่ลุง
25,"วิ่งไล่ลุง 
อ่างเก็บน้ำคลองกะทะ 
จ.ภูเก็ต",1,1,2,12-01-2563,"อ่างเก็บน้ำ
คลองกะทะ
จ.ภูเก็ต",-,-,"1,2",#วิ่งไล่ลุง,#วิ่งไล่ลุง
26,"วิ่งไล่ลุง  
สวนสมเด็จพระศรีนครินทร์
ปัตตานี จ.ปัตตานี",1,1,2,12-01-2563,"สวนสมเด็จพระศรีนครินทร์
ปัตตานี 
จ.ปัตตานี",-,-,"1,2",#วิ่งไล่ลุง,#วิ่งไล่ลุง
27,"กิจกรรมต่อต้านการใช้ศาล
กดหัวประชาชน",1,1,2,19-02-2563,"มหาวิทยาลัยธรรมศาสตร์ ท่าพระจันทร์ 
กรุงเทพมหานคร",-คัดค้านการใช้อำนาจตุลาการหรือศาลรัฐธรรมนูญในการยุบพรรคการเมือง,-,1,-,-
28,ศาลรัฐธรรมนูญวินิจฉัย ยุบพรรคอนาคตใหม่ และตัดสิทธิทางการเมืองกรรมการบริหารพรรค (กก.บห.) เป็นเวลา 10 ปี,,2,4,21-02-2563,"ศาลรัฐธรรมนูญ
กรุงเทพมหานคร",,,,,
29,ไม่ถอยไม่ทน รวมพลคนอนาคตใหม่ โคราช,28,1,2,21-02-2563,"อนุสาวรีย์ท้าวสุรนารี 
จ.นครราชสีมา",-,-,1,-,-
30,"กิจกรรมจุดเทียนเป็นรูปตราชั่ง
บนพื้นถนน 
หลังพรรคอนาคตใหม่ถูกยุบ",28,1,2,21-02-2563,"อ่างแก้ว มหาวิทยาลัยเชียงใหม่ 
จ.เชียงใหม่",- แสดงความคิดเห็นต่อการทำงานของศาลรัฐธรรมนูญในการยุบพรรคอนาคตใหม่,-,1,-,-
31,"รวมพลังสานต่อภารกิจอนาคตใหม่
ค่ำคืนนี้อีกยาวนานนัก",28,1,3,21-02-2563,"ตึกไทยซัมมิท
กรุงเทพมหานคร","-เพื่อพูดถึงแนวทางการขับเคลื่อนทางการเมืองของพรรคอนาคตใหม่ต่อไป
หลังจากถูกศาลรัฐธรรมนูญยุบพรรค",-,1,-,-
32,"แฟลชม็อบประเทศนี้ไม่มี
ความยุติธรรม",28,1,1,22-02-2563,"ลานปรีดี พนมยงค์ 
มหาวิทยาลัยธรรมศาสตร์ 
ท่าพระจันทร์ 
กรุงเทพมหานคร","-แสดงความคิดเห็นต่อการทำงานของศาลรัฐธรรมนูญในการยุบพรรคอนาคตใหม่
",-,1,-,-
33,"ชูป้าย ""หยุดความอยุติธรรม""",28,1,1,22-02-2563,"อ่างแก้ว มหาวิทยาลัยเชียงใหม่
จ.เชียงใหม่","-แสดงความคิดเห็นต่อการทำงานของศาลรัฐธรรมนูญในการยุบพรรคอนาคตใหม่
และให้กำลังใจพรรคอนาคตใหม่",-,1,-,-
34,ร่วมกันใส่ชุดดำไว้อาลัยให้ประชาธิปไตย,28,1,1,22-02-2563,"มหาวิทยาลัยนเรศวร 
จ.พิษณุโลก",-ไว้อาลัยแก่ประชาธิปไตยและเหตุการณ์การยุบพรรคอนาคตใหม่,-,1,-,-
35,จุดเทียนเขียนคืนความยุติธรรม,28,1,1,23-02-2563,"มหาวิทยาลัยบูรพา 
จ.ชลบุรี","-เรียกร้องกรณีการตัดสินยุบพรรคอนาคตใหม่ที่ไม่ยุติธรรมและการจับกุมผู้ใช้ทวิตเตอร์
 ""นิรนาม"" โดยกฎหมายที่จำกัดสิทธิเสรีภาพและไม่เป็นธรรม",-,"1,2",-,-
36,"อ่านแถลงการณ์แสดงความเสียใจต่อ
การยุบอนาคตใหม่",28,1,1,23-02-2563,"มหาวิทยาลัยสงขลานครินทร์ 
วิทยาเขตปัตตานี 
จ.ปัตตานี",-แสดงความเสียใจต่อพรรคอนาคตใหม่และแสดงความเป็นห่วงความขัดแย้งในสังคม,-,1,-,-
